current,position
0.081472369,1.28E-05
0.190579194,0.034192792
0.212698682,0.086083164
0.391337586,0.135330923
0.463235925,0.226360912
0.50975404,0.329835705
0.627849822,0.408605663
0.754688152,0.586063417
0.895750684,0.667682919
0.996488854,0.942073307
1.015761308,1.006376703
1.197059278,1.27168992
1.295716695,1.451102452
1.348537565,1.715348609
1.480028047,2.19734902
1.514188634,2.463276455
1.642176128,2.662477354
1.791573553,3.222104716
1.879220733,3.252412454
1.995949243,3.778647823
2.06557407,4.154079251
